Row Labels, amount_spent,frequency ,max_date,Current_date,recency,frequency_score,monetary_score2
13761,1070.65,70,10/20/2011,11/1/2014,1108,6,6
13762,4.26326E-14,14,5/19/2011,11/2/2014,1263,1,0
13763,1689.46,17,7/10/2011,11/3/2014,1212,2,7
13764,1521.76,208,9/30/2011,11/4/2014,1131,8,7
13767,16945.71,399,11/14/2011,11/5/2014,1087,9,9
13769,2771.87,143,10/11/2011,11/6/2014,1122,8,8
13771,2631.7,120,6/13/2011,11/7/2014,1243,7,8
13772,1132.13,177,6/11/2011,11/8/2014,1246,8,6
13774,345,22,9/19/2011,11/9/2014,1147,3,3
13777,25748.35,219,11/30/2011,11/10/2014,1076,9,9
13778,178.7,9,8/28/2011,11/11/2014,1171,1,1
13780,360.01,57,6/22/2011,11/12/2014,1239,5,3
13781,127.84,17,3/4/2011,11/13/2014,1350,2,0
13782,912,115,11/27/2011,11/14/2014,1083,7,6
13784,2462.79,31,11/30/2011,11/15/2014,1081,4,8
13786,230.4,7,7/12/2010,11/16/2014,1588,0,1
13787,309.04,31,9/25/2011,11/17/2014,1149,4,2
13790,348.8,45,5/12/2011,11/18/2014,1286,5,3
13791,1047.68,17,10/27/2011,11/19/2014,1119,2,6
13792,195.55,13,4/10/2011,11/20/2014,1320,1,1
13798,36351.42,439,12/9/2011,11/21/2014,1078,9,9
13799,688.86,39,8/15/2011,11/22/2014,1195,4,5
13800,558.32,33,3/2/2011,11/23/2014,1362,4,4
13801,324.8,23,4/10/2011,11/24/2014,1324,3,2
13802,3906.27,66,7/24/2011,11/25/2014,1220,6,9
13803,277.07,17,3/29/2011,11/26/2014,1338,2,2
13804,2635.79,137,9/22/2011,11/27/2014,1162,8,8
13805,924.6,13,10/18/2011,11/28/2014,1137,1,6
13806,256.38,10,7/10/2011,11/29/2014,1238,1,2
13807,112.6,7,7/12/2010,11/30/2014,1602,0,0
13808,1747.66,76,10/24/2011,12/1/2014,1134,6,7
13809,155.05,12,7/2/2011,12/2/2014,1249,1,1
13810,899.51,36,11/11/2011,12/3/2014,1118,4,5
13811,591.75,14,9/6/2011,12/4/2014,1185,1,4
13812,539,36,10/28/2011,12/5/2014,1134,4,4
13813,1353.41,71,11/9/2011,12/6/2014,1123,6,7
13814,1562.12,58,10/14/2011,12/7/2014,1150,5,7
13815,4014.91,177,11/17/2011,12/8/2014,1117,8,9
13816,555.04,33,11/16/2011,12/9/2014,1119,4,4
13817,382.98,24,10/11/2011,12/10/2014,1156,3,3
13819,1140.35,36,11/2/2011,12/11/2014,1135,4,6
13821,385.64,59,7/18/2011,12/12/2014,1243,6,3
13822,632,96,10/30/2011,12/13/2014,1140,7,4
13823,957.66,40,11/21/2011,12/14/2014,1119,4,6
13824,1698.94,46,12/4/2011,12/15/2014,1107,5,7
13826,174.65,12,6/16/2011,12/16/2014,1279,1,1
13827,412.05,93,10/13/2011,12/17/2014,1161,7,3
13828,209.49,15,11/17/2011,12/18/2014,1127,2,1
13829,-102,1,12/15/2010,12/19/2014,1465,0,0
13831,2202.99,74,11/23/2011,12/20/2014,1123,6,8
13832,40.95,4,11/22/2011,12/21/2014,1125,0,0
13833,384.8,29,3/7/2011,12/22/2014,1386,3,3
13835,834.57,55,11/14/2011,12/23/2014,1135,5,5
13837,271.24,19,12/5/2011,12/24/2014,1115,2,2
13838,691.73,174,8/14/2011,12/25/2014,1229,8,5
13841,85,1,1/4/2011,12/26/2014,1452,0,0
13842,3385.62,206,12/10/2011,12/27/2014,1113,8,8
13844,361.62,20,11/28/2011,12/28/2014,1126,2,3
13845,312.98,9,6/10/2011,12/29/2014,1298,1,2
13846,847.61,58,11/15/2011,12/30/2014,1141,5,5
13848,1255,5,8/9/2011,12/31/2014,1240,0,6
13849,1537.95,101,10/19/2011,1/1/2015,1170,7,7
13850,1586.81,94,12/9/2011,1/2/2015,1120,7,7
13851,2651.46,81,5/9/2011,1/3/2015,1335,6,8
13853,1056.94,24,10/13/2011,1/4/2015,1179,3,6
13854,8025.02,114,12/9/2011,1/5/2015,1123,7,9
13856,363.4,17,9/6/2011,1/6/2015,1218,2,3
13858,216.17,11,10/13/2011,1/7/2015,1182,1,1
13859,201.16,28,1/17/2011,1/8/2015,1452,3,1
13860,1240,77,11/25/2011,1/9/2015,1141,6,6
13862,2187.31,142,11/21/2011,1/10/2015,1146,8,8
13863,299.56,22,8/4/2011,1/11/2015,1256,3,2
13865,501.56,30,12/10/2011,1/12/2015,1129,4,4
13866,145.67,7,9/26/2011,1/13/2015,1205,0,0
13867,1015.29,61,9/26/2011,1/14/2015,1206,6,6
13868,3192.54,33,2/12/2011,1/15/2015,1433,4,8
13869,3104.95,307,8/8/2011,1/16/2015,1257,9,8
13870,2751.25,118,10/30/2011,1/17/2015,1175,7,8
13871,6389.8,338,11/17/2011,1/18/2015,1158,9,9
13873,381.7,24,12/8/2011,1/19/2015,1138,3,3
13874,540.45,18,12/16/2010,1/20/2015,1496,2,4
13875,1786.79,104,11/2/2011,1/21/2015,1176,7,7
13876,122.7,7,7/10/2011,1/22/2015,1292,0,0
13877,117.24,3,9/14/2011,1/23/2015,1227,0,0
13878,1281.53,36,10/16/2011,1/24/2015,1196,4,6
13880,3219.77,165,11/18/2011,1/25/2015,1164,8,8
13881,16989.52,180,11/28/2011,1/26/2015,1155,8,9
13882,1131.28,66,11/28/2011,1/27/2015,1156,6,6
13883,2538.75,155,12/5/2011,1/28/2015,1150,8,8
13884,781.3,60,11/9/2011,1/29/2015,1177,6,5
13885,506.8,28,5/23/2011,1/30/2015,1348,3,4
13886,243.56,16,9/29/2011,1/31/2015,1220,2,2
13887,349.55,19,5/19/2011,2/1/2015,1354,2,3
13888,605.63,40,12/8/2011,2/2/2015,1152,4,4
13889,416.9,15,8/9/2011,2/3/2015,1274,2,3
13890,1860.86,114,11/21/2011,2/4/2015,1171,7,7
13892,632.97,27,11/13/2011,2/5/2015,1180,3,4
13893,821.1,21,2/15/2011,2/6/2015,1452,2,5
13894,535.97,30,11/17/2011,2/7/2015,1178,4,4
13895,2588.12,119,11/18/2011,2/8/2015,1178,7,8
13897,311.16,17,10/20/2011,2/9/2015,1208,2,2
13898,155.93,12,1/18/2011,2/10/2015,1484,1,1
13899,388.52,19,11/23/2011,2/11/2015,1176,2,3
13900,740.95,43,9/6/2011,2/12/2015,1255,5,5
13901,2867.2,149,9/28/2011,2/13/2015,1234,8,8
13904,332.64,26,2/18/2011,2/14/2015,1457,3,2
13908,2347.05,126,12/5/2011,2/15/2015,1168,8,8
13911,2580.91,148,10/13/2011,2/16/2015,1222,8,8
13914,613.95,34,11/28/2011,2/17/2015,1177,4,4
13917,272.04,18,10/21/2011,2/18/2015,1216,2,2
13918,1212.84,30,10/21/2011,2/19/2015,1217,4,6
13919,350.16,33,11/10/2011,2/20/2015,1198,4,3
13922,172.25,7,12/23/2010,2/21/2015,1521,0,1
13923,351.13,20,10/17/2011,2/22/2015,1224,2,3
13924,1682.08,137,11/30/2011,2/23/2015,1181,8,7
13925,616.65,45,10/8/2011,2/24/2015,1235,5,4
13926,223.85,11,11/16/2011,2/25/2015,1197,1,1
13927,348.99,21,9/26/2011,2/26/2015,1249,2,3
13928,464.57,27,11/29/2011,2/27/2015,1186,3,3
13929,802.85,10,6/23/2011,2/28/2015,1346,1,5
13930,337.34,17,10/13/2011,3/1/2015,1235,2,2
13931,1230.93,59,9/15/2011,3/2/2015,1264,6,6
13932,307.4,16,2/18/2011,3/3/2015,1474,2,2
13933,608.79,23,8/22/2011,3/4/2015,1290,3,4
13934,922.1,31,3/21/2011,3/5/2015,1445,4,6
13936,361.28,27,6/21/2011,3/6/2015,1354,3,3
13937,158.85,9,6/23/2011,3/7/2015,1353,1,1
13938,71.66,7,4/11/2011,3/8/2015,1427,0,0
13939,556.75,46,11/16/2011,3/9/2015,1209,5,4
13940,839.14,49,11/22/2011,3/10/2015,1204,5,5
13941,4912.41,47,11/18/2011,3/11/2015,1209,5,9
13946,561.57,11,9/21/2011,3/12/2015,1268,1,4
13947,90.6,5,5/10/2011,3/13/2015,1403,0,0
13948,102,3,12/14/2010,3/14/2015,1551,0,0
13949,2427.32,160,11/15/2011,3/15/2015,1216,8,8
13950,728.56,36,11/28/2011,3/16/2015,1204,4,5
13951,674.45,39,6/16/2011,3/17/2015,1370,4,5
13952,3246.091,138,12/5/2011,3/18/2015,1199,8,8
13953,3515.68,20,10/18/2011,3/19/2015,1248,2,9
13954,378.59,30,10/13/2011,3/20/2015,1254,4,3
13955,322.96,33,8/7/2011,3/21/2015,1322,4,2
13956,1026.42,152,10/16/2011,3/22/2015,1253,8,6
13958,-102.45,5,2/12/2010,3/23/2015,1865,0,0
13959,598.2,92,9/21/2011,3/24/2015,1280,7,4
13960,230.22,12,11/18/2011,3/25/2015,1223,1,1
13962,169.55,11,11/18/2011,3/26/2015,1224,1,1
13963,664.54,35,4/2/2011,3/27/2015,1455,4,5
13967,80.7,2,7/17/2011,3/28/2015,1350,0,0
13969,8986.69,633,11/23/2011,3/29/2015,1222,9,9
13971,2702.22,158,12/5/2011,3/30/2015,1211,8,8
13972,190.25,15,9/30/2011,3/31/2015,1278,2,1
13973,264.7,11,2/25/2011,4/1/2015,1496,1,2
13974,413.59,28,10/21/2011,4/2/2015,1259,3,3
13975,2503.23,340,11/3/2011,4/3/2015,1247,9,8
13976,357.98,10,5/17/2011,4/4/2015,1418,1,3
13978,196.79,15,11/25/2011,4/5/2015,1227,2,1
13979,869.87,54,9/27/2011,4/6/2015,1287,5,5
13980,200.14,11,10/10/2011,4/7/2015,1275,1,1
13982,1861.11,115,10/31/2011,4/8/2015,1255,7,7
13983,2590.46,112,12/10/2011,4/9/2015,1216,7,8
13984,488.03,17,11/13/2011,4/10/2015,1244,2,4
13985,7024.53,351,12/10/2011,4/11/2015,1218,9,9
13986,320.46,13,11/22/2011,4/12/2015,1237,1,2
13988,4098.8,239,11/20/2011,4/13/2015,1240,9,9
13989,1266.08,41,5/10/2011,4/14/2015,1435,4,6
13990,311.3,16,10/5/2011,4/15/2015,1288,2,2
13991,850.63,86,11/27/2011,4/16/2015,1236,7,5
13992,76.8,5,9/11/2011,4/17/2015,1314,0,0
13993,3409.66,125,11/9/2011,4/18/2015,1256,8,8
13994,2313.14,155,10/31/2011,4/19/2015,1266,8,8
13995,1383.49,87,11/24/2011,4/20/2015,1243,7,7
13999,3865.26,212,11/29/2011,4/21/2015,1239,8,9
14000,633.71,16,12/5/2011,4/22/2015,1234,2,4
14001,2030.33,40,10/25/2011,4/23/2015,1276,4,8
14002,529.73,47,7/28/2011,4/24/2015,1366,5,4
14004,4582.64,171,10/27/2011,4/25/2015,1276,8,9
14005,2874.72,84,11/30/2011,4/26/2015,1243,6,8
14006,962.19,30,12/4/2011,4/27/2015,1240,4,6
14009,685.93,44,5/25/2011,4/28/2015,1434,5,5
14012,328.8,11,7/3/2011,4/29/2015,1396,1,2
14013,473.02,34,9/3/2011,4/30/2015,1335,4,4
14014,505.18,39,9/23/2011,5/1/2015,1316,4,4
14015,917.34,20,10/18/2011,5/2/2015,1292,2,6
14016,4328.46,162,8/7/2011,5/3/2015,1365,8,9
14019,1398.96,68,10/24/2011,5/4/2015,1288,6,7
14020,642.8,39,12/9/2011,5/5/2015,1243,4,4
14021,631.9,22,12/5/2011,5/6/2015,1248,3,4
14022,440,28,4/28/2011,5/7/2015,1470,3,3
14023,584.07,31,3/4/2011,5/8/2015,1526,4,4
14024,327.7,16,10/8/2011,5/9/2015,1309,2,2
14027,104.82,6,10/10/2011,5/10/2015,1308,0,0
14029,467.66,15,7/18/2011,5/11/2015,1393,2,4
14030,2360.09,243,11/21/2011,5/12/2015,1268,9,8
14031,14634.64,258,11/18/2011,5/13/2015,1272,9,9
14032,2929.84,152,12/4/2011,5/14/2015,1257,8,8
14034,512.02,92,11/17/2011,5/15/2015,1275,7,4
14035,1428.02,66,11/11/2011,5/16/2015,1282,6,7
14036,626.65,38,2/28/2011,5/17/2015,1539,4,4
14037,147.2,28,6/16/2011,5/18/2015,1432,3,1
14038,1554.48,93,9/22/2011,5/19/2015,1335,7,7
14039,152.2,6,6/11/2011,5/20/2015,1439,0,1
14040,3542.19,241,12/1/2011,5/21/2015,1267,9,9
14041,141.41,21,3/18/2011,5/22/2015,1526,2,0
14044,652.82,209,11/13/2011,5/23/2015,1287,8,5
14045,1659.75,6,8/22/2011,5/24/2015,1371,0,7
14046,154.99,14,2/28/2011,5/25/2015,1547,1,1
14047,1290.01,34,9/27/2011,5/26/2015,1337,4,6
14048,375.13,88,7/3/2011,5/27/2015,1424,7,3
14049,5639.15,505,11/23/2011,5/28/2015,1282,9,9
14050,746.36,54,8/25/2011,5/29/2015,1373,5,5
14051,15477.34,215,11/22/2011,5/30/2015,1285,9,9
14052,225.36,56,11/20/2011,5/31/2015,1288,5,1
14053,260.25,4,7/8/2011,6/1/2015,1424,0,2
14054,92.46,6,5/10/2011,6/2/2015,1484,0,0
14055,725.64,10,8/25/2011,6/3/2015,1378,1,5
14056,8124.4,1128,11/24/2011,6/4/2015,1288,9,9
14057,6147.4,291,11/16/2011,6/5/2015,1297,9,9
14059,183.6,8,3/18/2011,6/6/2015,1541,1,1
14060,6135.38,203,11/17/2011,6/7/2015,1298,8,9
14062,10464.85,111,11/30/2011,6/8/2015,1286,7,9
14064,1188.32,82,12/5/2011,6/9/2015,1282,6,6
14066,152.55,7,3/18/2011,6/10/2015,1545,0,1
14067,374.7,52,7/10/2011,6/11/2015,1432,5,3
14068,265.85,24,1/23/2011,6/12/2015,1601,3,2
14071,1307.41,333,12/4/2011,6/13/2015,1287,9,6
14073,139.54,14,11/18/2011,6/14/2015,1304,1,0
14075,942.26,43,11/20/2011,6/15/2015,1303,5,6
14076,122.47,46,2/8/2011,6/16/2015,1589,5,0
14077,499.42,42,10/30/2011,6/17/2015,1326,4,4
14078,1049.37,65,10/5/2011,6/18/2015,1352,6,6
14079,375.1,12,7/8/2011,6/19/2015,1442,1,3
14080,45.6,4,7/11/2011,6/20/2015,1440,0,0
14081,904.67,156,10/2/2011,6/21/2015,1358,8,5
14082,182.25,29,10/12/2010,6/22/2015,1714,3,1
14083,1018.43,181,11/3/2011,6/23/2015,1328,8,6
14085,4435.79,451,11/30/2011,6/24/2015,1302,9,9
14087,181.67,70,7/12/2011,6/25/2015,1444,6,1
14088,50415.49,590,11/29/2011,6/26/2015,1305,9,9
14089,161,14,10/14/2011,6/27/2015,1352,1,1
14090,76.32,1,1/19/2011,6/28/2015,1621,0,0
14092,4063.1,217,11/16/2011,6/29/2015,1321,9,9
14093,442.85,105,11/27/2011,6/30/2015,1311,7,3
14096,57120.91,5128,11/28/2011,7/1/2015,1311,9,9
14098,147.35,21,3/11/2011,7/2/2015,1574,2,1
14099,3092.97,252,11/23/2011,7/3/2015,1318,9,8
14100,194.9,26,7/25/2011,7/4/2015,1440,3,1
14101,5976.79,35,9/27/2011,7/5/2015,1377,4,9
14102,1314.73,84,11/28/2011,7/6/2015,1316,6,7
14104,216.21,21,8/7/2011,7/7/2015,1430,2,1
14105,1260.33,76,9/15/2011,7/8/2015,1392,6,6
14107,2688.48,124,10/19/2011,7/9/2015,1359,7,8
14108,594.16,35,9/11/2011,7/10/2015,1398,4,4
14109,80.2,14,11/16/2011,7/11/2015,1333,1,0
14110,5669.65,156,12/9/2011,7/12/2015,1311,8,9
14111,688.6,11,12/4/2011,7/13/2015,1317,1,5
14112,2774.17,173,11/17/2011,7/14/2015,1335,8,8
14113,1377.92,40,11/17/2011,7/15/2015,1336,4,7
14114,386.53,15,11/3/2011,7/16/2015,1351,2,3
14116,1382.74,72,11/20/2011,7/17/2015,1335,6,7
14117,90,3,7/19/2011,7/18/2015,1460,0,0
14119,-19.9,1,12/20/2010,7/19/2015,1672,0,0
14121,2740.3,161,11/29/2011,7/20/2015,1329,8,8
14124,419.58,5,9/16/2011,7/21/2015,1404,0,3
14125,2740.43,167,11/29/2011,7/22/2015,1331,8,8
14126,643.63,16,11/29/2011,7/23/2015,1332,2,4
14127,709.71,44,9/8/2011,7/24/2015,1415,5,5
14128,637.5,46,10/10/2011,7/25/2015,1384,5,4
14129,1123.86,52,11/22/2011,7/26/2015,1342,5,6
14130,483.86,67,1/24/2011,7/27/2015,1645,6,4
14132,3580.13,201,12/7/2011,7/28/2015,1329,8,9
14133,590.34,30,11/2/2011,7/29/2015,1365,4,4
14135,4690.31,134,11/1/2011,7/30/2015,1367,8,9
14138,982.38,47,8/12/2011,7/31/2015,1449,5,6
14139,415.82,26,10/24/2011,8/1/2015,1377,3,3
14140,920.05,67,11/18/2011,8/2/2015,1353,6,6
14141,879.03,46,11/10/2011,8/3/2015,1362,5,5
14142,311.81,22,1/12/2010,8/4/2015,2030,3,2
14143,115.8,7,7/29/2011,8/5/2015,1468,0,0
14145,3148.2,12,10/24/2011,8/6/2015,1382,1,8
14146,2949.57,245,9/19/2011,8/7/2015,1418,9,8
14147,468.4,6,10/21/2011,8/8/2015,1387,0,4
14148,157.2,3,4/20/2011,8/9/2015,1572,0,1
14149,259.43,40,11/5/2011,8/10/2015,1374,4,2
14150,658.64,26,4/11/2011,8/11/2015,1583,3,5
14152,611.09,50,9/25/2011,8/12/2015,1417,5,4
14154,1345.62,52,4/14/2011,8/13/2015,1582,5,7
14155,118.75,6,3/18/2011,8/14/2015,1610,0,0
14156,113384.14,1420,12/10/2011,8/15/2015,1344,9,9
14157,400.43,49,11/20/2011,8/16/2015,1365,5,3
14158,507.66,41,10/30/2011,8/17/2015,1387,4,4
14159,4678.3,1212,11/20/2011,8/18/2015,1367,9,9
14161,1110.52,108,8/5/2011,8/19/2015,1475,7,6
14162,289.36,25,6/19/2011,8/20/2015,1523,3,2
14163,2445.91,52,10/7/2011,8/21/2015,1414,5,8
14164,1631.77,29,9/30/2011,8/22/2015,1422,3,7
14165,122.54,25,9/3/2011,8/23/2015,1450,3,0
14167,574.84,52,12/1/2011,8/24/2015,1362,5,4
14171,363.79,58,2/9/2011,8/25/2015,1658,5,3
14173,450.84,29,11/29/2011,8/26/2015,1366,3,3
14174,134.46,26,6/11/2011,8/27/2015,1538,3,0
14175,3108.06,164,11/10/2011,8/28/2015,1387,8,8
14176,574,32,2/15/2011,8/29/2015,1656,4,4
14177,554.46,43,9/16/2011,8/30/2015,1444,5,4
14178,1620.93,327,11/11/2011,8/31/2015,1389,9,7
14179,719.78,165,10/30/2011,9/1/2015,1402,8,5
14180,4640.77,248,11/29/2011,9/2/2015,1373,9,9
14184,452.89,24,4/10/2011,9/3/2015,1607,3,3
14185,197.65,3,12/1/2011,9/4/2015,1373,0,1
14188,2018.91,71,9/29/2011,9/5/2015,1437,6,8
14189,4604.31,277,11/30/2011,9/6/2015,1376,9,9
14191,4660.01,263,11/29/2011,9/7/2015,1378,9,9
14193,853.39,42,3/15/2011,9/8/2015,1638,4,5
14194,11216.75,604,11/30/2011,9/9/2015,1379,9,9
14195,962.7,8,5/22/2011,9/10/2015,1572,1,6
14196,335.52,6,8/25/2011,9/11/2015,1478,0,2
14198,663.5,44,11/21/2011,9/12/2015,1391,5,5
14199,185.4,2,5/5/2011,9/13/2015,1592,0,1
14201,688.04,39,12/5/2011,9/14/2015,1379,4,5
14204,161.03,44,7/12/2011,9/15/2015,1526,5,1
14205,218.78,39,11/29/2011,9/16/2015,1387,4,1
14206,308.26,21,4/14/2011,9/17/2015,1617,2,2
14208,151.74,10,6/9/2011,9/18/2015,1562,1,1
14209,2067.13,88,11/29/2011,9/19/2015,1390,7,8
14210,1900.89,103,9/9/2011,9/20/2015,1472,7,7
14211,2208.3,118,10/17/2011,9/21/2015,1435,7,8
14212,1070.48,9,11/9/2011,9/22/2015,1413,1,6
14213,-1192.2,5,3/12/2010,9/23/2015,2021,0,0
14214,1000.23,70,11/3/2011,9/24/2015,1421,6,6
14215,1777.92,109,11/28/2011,9/25/2015,1397,7,7
14216,1839.3,59,11/23/2011,9/26/2015,1403,6,7
14217,1925.36,107,11/30/2011,9/27/2015,1397,7,7
14218,169.48,12,10/28/2011,9/28/2015,1431,1,1
14219,89.94,7,5/12/2011,9/29/2015,1601,0,0
14220,632.4,21,6/4/2011,9/30/2015,1579,2,4
14221,3427.85,194,10/28/2011,10/1/2015,1434,8,8
14222,683.17,41,6/15/2011,10/2/2015,1570,4,5
14223,975.23,61,8/9/2011,10/3/2015,1516,6,6
14224,1050.12,118,8/21/2011,10/4/2015,1505,7,6
14226,2201.64,73,11/11/2011,10/5/2015,1424,6,8
14227,3315.71,183,11/13/2011,10/6/2015,1423,8,8
14229,1450.6,43,10/19/2011,10/7/2015,1449,5,7
14231,822.06,54,9/6/2011,10/8/2015,1493,5,5
14232,2043.93,118,10/28/2011,10/9/2015,1442,7,8
14233,1447.51,36,12/5/2011,10/10/2015,1405,4,7
14234,775.46,159,11/17/2011,10/11/2015,1424,8,5
14235,3093.86,80,11/29/2011,10/12/2015,1413,6,8
14236,490.86,15,9/20/2011,10/13/2015,1484,2,4
14237,161,9,1/12/2010,10/14/2015,2101,1,1
14238,146.85,8,1/17/2011,10/15/2015,1732,1,0
14239,2323.5,116,10/27/2011,10/16/2015,1450,7,8
14240,890.34,42,9/11/2011,10/17/2015,1497,4,5
14241,213.7,10,9/6/2011,10/18/2015,1503,1,1
14242,280.55,16,4/19/2011,10/19/2015,1644,2,2
14243,2535.88,148,9/9/2011,10/20/2015,1502,8,8
14245,1677.48,112,6/16/2011,10/21/2015,1588,7,7
14246,1474.06,75,8/21/2011,10/22/2015,1523,6,7
14247,136.77,20,6/3/2011,10/23/2015,1603,2,0
14248,302.58,8,1/25/2011,10/24/2015,1733,1,2
14250,1904.05,111,11/9/2011,10/25/2015,1446,7,7
14251,2879.7,78,11/29/2011,10/26/2015,1427,6,8
14256,935.06,54,3/30/2011,10/27/2015,1672,5,6
14257,3087.27,107,10/19/2011,10/28/2015,1470,7,8
14258,12650.08,112,11/30/2011,10/29/2015,1429,7,9
14259,120,5,7/21/2011,10/30/2015,1562,0,0
14261,1163.45,52,10/20/2011,10/31/2015,1472,5,6
14262,2618.23,143,11/22/2011,11/1/2015,1440,8,8
14264,319.47,19,8/7/2011,11/2/2015,1548,2,2
14265,530.18,31,8/22/2011,11/3/2015,1534,4,4
14267,1279.09,66,12/7/2011,11/4/2015,1428,6,6
14270,492.65,29,12/1/2011,11/5/2015,1435,3,4
14271,112.32,10,4/28/2011,11/6/2015,1653,1,0
14272,437.96,33,9/27/2011,11/7/2015,1502,4,3
14273,559.97,29,11/4/2011,11/8/2015,1465,3,4
14276,1019.39,75,12/9/2011,11/9/2015,1431,6,6
14277,3957,228,11/24/2011,11/10/2015,1447,9,9
14280,134.04,8,5/27/2011,11/11/2015,1629,1,0
14282,3729.34,156,11/20/2011,11/12/2015,1453,8,9
14284,578.45,34,9/21/2011,11/13/2015,1514,4,4
14285,1910.01,27,11/18/2011,11/14/2015,1457,3,7
14286,4595.81,285,12/9/2011,11/15/2015,1437,9,9
14287,151.23,11,10/6/2011,11/16/2015,1502,1,1
14288,413.85,17,11/5/2011,11/17/2015,1473,2,3
14289,911.26,47,12/4/2011,11/18/2015,1445,5,6
14290,2307.45,103,11/28/2011,11/19/2015,1452,7,8
14291,3873.3,238,11/8/2011,11/20/2015,1473,9,9
14292,4819.33,108,12/9/2011,11/21/2015,1443,7,9
14293,1046.56,61,7/15/2011,11/22/2015,1591,6,6
14295,154.7,7,11/1/2011,11/23/2015,1483,0,1
14297,1284.06,64,11/22/2011,11/24/2015,1463,6,6
14298,50862.44,1640,10/18/2011,11/25/2015,1499,9,9
14299,2855.35,162,12/10/2011,11/26/2015,1447,8,8
14300,43.2,3,11/21/2011,11/27/2015,1467,0,0
14301,632.04,16,8/24/2011,11/28/2015,1557,2,4
14304,197.1,27,11/2/2011,11/29/2015,1488,3,1
14305,1803.76,110,11/8/2011,11/30/2015,1483,7,7
14306,2083.42,35,10/19/2011,12/1/2015,1504,4,8
14307,2995.72,180,12/9/2011,12/2/2015,1454,8,8
14309,2319.68,123,11/11/2011,12/3/2015,1483,7,8
14311,229.71,27,11/4/2011,12/4/2015,1491,3,1
14312,1611.59,87,11/3/2011,12/5/2015,1493,7,7
14314,120,8,8/25/2011,12/6/2015,1564,1,0
14315,2456.98,104,11/18/2011,12/7/2015,1480,7,8
14317,508.58,24,6/10/2011,12/8/2015,1642,3,4
14320,343.11,42,11/1/2011,12/9/2015,1499,4,3
14321,1530.75,123,11/29/2011,12/10/2015,1472,7,7
14323,574.26,41,8/17/2011,12/11/2015,1577,4,4
14326,166.85,9,11/4/2011,12/12/2015,1499,1,1
14327,311.65,12,6/29/2011,12/13/2015,1628,1,2
14329,4928.74,269,11/22/2011,12/14/2015,1483,9,9
14331,462.66,28,7/27/2011,12/15/2015,1602,3,3
14332,866.31,26,11/17/2011,12/16/2015,1490,3,5
14333,351.45,19,6/10/2011,12/17/2015,1651,2,3
14334,2539.46,163,11/23/2011,12/18/2015,1486,8,8
14335,468.26,63,11/23/2011,12/19/2015,1487,6,4
14336,1614.91,90,11/23/2011,12/20/2015,1488,7,7
14338,554.22,34,5/27/2011,12/21/2015,1669,4,4
14339,289.91,18,11/4/2011,12/22/2015,1509,2,2
14340,134.7,6,5/5/2011,12/23/2015,1693,0,0
14341,2166.38,130,10/25/2011,12/24/2015,1521,8,8
14342,607.71,24,11/18/2011,12/25/2015,1498,3,4
14344,889.93,71,9/3/2011,12/26/2015,1575,6,5
14345,108.98,6,1/11/2011,12/27/2015,1811,0,0
14346,1021.58,60,11/8/2011,12/28/2015,1511,6,6
14348,409.57,18,3/24/2011,12/29/2015,1741,2,3
14349,133.5,31,11/29/2011,12/30/2015,1492,4,0
14350,258.7,21,10/3/2011,12/31/2015,1550,2,2
14351,51,1,6/28/2011,1/1/2016,1648,0,0
14352,1078.96,47,11/3/2011,1/2/2016,1521,5,6
14353,90.6,6,8/5/2011,1/3/2016,1612,0,0
14354,163.62,9,9/11/2011,1/4/2016,1576,1,1
14355,174.4,11,9/12/2010,1/5/2016,1941,1,1
14356,666.94,38,10/10/2011,1/6/2016,1549,4,5
14357,225.77,41,10/27/2011,1/7/2016,1533,4,1
14359,882.58,58,11/20/2011,1/8/2016,1510,5,5
14360,2128.23,118,8/11/2011,1/9/2016,1612,7,8
14362,161.2,41,11/17/2011,1/10/2016,1515,4,1
14364,3717.35,69,12/5/2011,1/11/2016,1498,6,9
14367,9167.82,533,11/18/2011,1/12/2016,1516,9,9
14368,155,8,1/24/2011,1/13/2016,1815,1,1
14371,100.5,4,2/17/2011,1/14/2016,1792,0,0
14373,76.55,4,12/16/2010,1/15/2016,1856,0,0
14375,257.68,75,7/6/2011,1/16/2016,1655,6,2
14377,617.05,11,3/22/2011,1/17/2016,1762,1,4
14379,348.1,46,10/26/2011,1/18/2016,1545,5,3
14381,202.68,56,10/18/2011,1/19/2016,1554,5,1
14382,626.07,131,11/13/2011,1/20/2016,1529,8,4
14383,1247.69,59,6/29/2011,1/21/2016,1667,6,6
14385,202.11,14,11/30/2011,1/22/2016,1514,1,1
14386,142.4,7,2/16/2011,1/23/2016,1802,0,0
14387,1770.56,140,9/26/2011,1/24/2016,1581,8,7
14388,3172.04,191,11/29/2011,1/25/2016,1518,8,8
14389,999.72,62,11/7/2011,1/26/2016,1541,6,6
14390,4592.47,291,12/5/2011,1/27/2016,1514,9,9
14393,67.95,5,5/5/2011,1/28/2016,1729,0,0
14395,3471.91,353,10/25/2011,1/29/2016,1557,9,8
14396,487.99,73,5/10/2011,1/30/2016,1726,6,4
14397,2556.68,95,12/6/2011,1/31/2016,1517,7,8
14400,559.7,26,7/21/2011,2/1/2016,1656,3,4
14401,4039.98,183,10/11/2011,2/2/2016,1575,8,9
